INFO  - 2013-07-16 10:09:11.151; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/admin-extra.html
INFO  - 2013-07-16 10:09:11.158; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/admin-extra.menu-bottom.html
INFO  - 2013-07-16 10:09:11.163; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/admin-extra.menu-top.html
INFO  - 2013-07-16 10:09:11.168; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/currency.xml
INFO  - 2013-07-16 10:09:11.173; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/elevate.xml
INFO  - 2013-07-16 10:09:11.178; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/contractions_ca.txt
INFO  - 2013-07-16 10:09:11.185; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/contractions_fr.txt
INFO  - 2013-07-16 10:09:11.190; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/contractions_ga.txt
INFO  - 2013-07-16 10:09:11.196; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/contractions_it.txt
INFO  - 2013-07-16 10:09:11.202; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/hyphenations_ga.txt
INFO  - 2013-07-16 10:09:11.208; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stemdict_nl.txt
INFO  - 2013-07-16 10:09:11.213; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stoptags_ja.txt
INFO  - 2013-07-16 10:09:11.219; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_ar.txt
INFO  - 2013-07-16 10:09:11.224; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_bg.txt
INFO  - 2013-07-16 10:09:11.231; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_ca.txt
INFO  - 2013-07-16 10:09:11.236; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_cz.txt
INFO  - 2013-07-16 10:09:11.241; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_da.txt
INFO  - 2013-07-16 10:09:11.247; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_de.txt
INFO  - 2013-07-16 10:09:11.252; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_el.txt
INFO  - 2013-07-16 10:09:11.258; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_en.txt
INFO  - 2013-07-16 10:09:11.263; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_es.txt
INFO  - 2013-07-16 10:09:11.268; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_eu.txt
